bii score,group,department
73.69,Sales Group,Convention Sales
80.23,Sales Group,Convention Services
70.33,Sales Group,Convention Sales
61.17,Marketing Group,Marketing Communications
87.44,Operations Group,VIC
73.96,Sales Group,Convention Sales
85.9,Sales Group,Convention Sales
76.08,Sales Group,Convention Sales
84.44,Operations Group,Executive Office
71.4,Marketing Group,Marketing Communications
61,Sales Group,Convention Sales
73.17,Operations Group,Public Policy
90.29,Marketing Group,Marketing Communications
76.27,Operations Group,Finance
83.33,Marketing Group,Special Events
59.4,Marketing Group,Partner Services
67.4,Marketing Group,Media Relations
84.17,Sales Group,Convention Sales
77.04,Marketing Group,Tourism
68.88,Marketing Group,Special Events
67.98,Sales Group,Convention Sales
63.52,Sales Group,Convention Sales
72.06,Sales Group,Convention Services
82.11,Sales Group,Convention Sales
56.81,Operations Group,Administration
70.06,Sales Group,Convention Sales
80.02,Sales Group,Convention Sales
73.77,Marketing Group,Executive Office
62.52,Operations Group,VIC
83.67,Operations Group,Information Technology
80.63,Marketing Group,Special Events
67.37,Operations Group,Administration
71.85,Sales Group,Convention Sales
67.69,Marketing Group,Marketing Communications
72.58,Marketing Group,Partner Services
77.52,Sales Group,Convention Sales
76.75,Sales Group,Convention Sales
80.5,Marketing Group,Partner Services
60.79,Sales Group,Convention Sales
76.92,Sales Group,Executive Office
83.06,Operations Group,Public Policy
73.25,Sales Group,Convention Sales
68.71,Marketing Group,Marketing Communications
77.71,Operations Group,Information Technology
77.75,Operations Group,Information Technology
72.88,Sales Group,Convention Sales
83.75,Operations Group,Administration
73.6,Sales Group,Convention Services
81.69,Operations Group,Executive Office
79.67,Marketing Group,Marketing Communications
66.02,Operations Group,Finance
73.02,Sales Group,Convention Services
65.42,Marketing Group,Marketing Communications
73.36,Operations Group,Executive Office
82.83,Sales Group,Convention Sales
78.69,Sales Group,Convention Sales
85.06,Sales Group,Convention Sales
74.4,Sales Group,Convention Sales
87.75,Marketing Group,Executive Office
82,Marketing Group,Special Events
79.33,Operations Group,Finance
74.83,Sales Group,Convention Services
82.31,Marketing Group,Marketing Communications
73.19,Marketing Group,Marketing Communications
59.58,Operations Group,Executive Office
74.64,Operations Group,VIC
66.48,Operations Group,Finance
68.23,Sales Group,Convention Sales
89.23,Marketing Group,Media Relations
73.54,Operations Group,Information Technology
76.75,Marketing Group,Media Relations
69.46,Sales Group,Convention Services
77.73,Marketing Group,Partner Services
78.77,Sales Group,Convention Sales
87.5,Sales Group,Convention Sales
68.48,Marketing Group,Marketing Communications
59.83,Operations Group,Finance
74.9,Sales Group,Executive Office
75.48,Marketing Group,Special Events
86.77,Operations Group,Information Technology
74.02,Marketing Group,Tourism
