trust,resilience,diversity,belief,perfection,collaboration,comfort zone,innovation zone,bii score,group,department
54.67,85,90,94.67,85,67.5,66.67,46,73.69,Sales Group,Convention Sales
69.33,100,90,87.33,85,97.5,66.67,46,80.23,Sales Group,Convention Services
58,77.5,80,74.67,90,82.5,60,40,70.33,Sales Group,Convention Sales
49.33,65,55,80,90,70,60,20,61.17,Marketing Group,Marketing Communications
80,100,82.5,94.67,95,100,73.33,74,87.44,Operations Group,VIC
72.67,85,92.5,74.67,70,77.5,73.33,46,73.96,Sales Group,Convention Sales
80,92.5,100,94.67,100,100,80,40,85.9,Sales Group,Convention Sales
70.67,72.5,92.5,74.67,85,80,53.33,80,76.08,Sales Group,Convention Sales
78,90,100,85.33,90,97.5,66.67,68,84.44,Operations Group,Executive Office
76,82.5,72.5,72.67,70,77.5,60,60,71.4,Marketing Group,Marketing Communications
58,80,57.5,64,65,77.5,40,46,61,Sales Group,Convention Sales
92,75,60,54.67,80,85,66.67,72,73.17,Operations Group,Public Policy
85.33,100,92.5,98,95,97.5,80,74,90.29,Marketing Group,Marketing Communications
80,100,75,87.33,80,82.5,73.33,32,76.27,Operations Group,Finance
78,92.5,87.5,82,95,85,66.67,80,83.33,Marketing Group,Special Events
68.67,67.5,72.5,50.67,65,77.5,53.33,20,59.4,Marketing Group,Partner Services
54.67,77.5,92.5,80,60,82.5,60,32,67.4,Marketing Group,Media Relations
85.33,97.5,92.5,90.67,95,85,73.33,54,84.17,Sales Group,Convention Sales
74.67,85,82.5,66.67,90,97.5,60,60,77.04,Marketing Group,Tourism
74.67,80,52.5,65.33,75,77.5,60,66,68.88,Marketing Group,Special Events
74.67,90,87.5,73.33,85,60,53.33,20,67.98,Sales Group,Convention Sales
58,77.5,80,72.67,75,65,60,20,63.52,Sales Group,Convention Sales
90.67,70,87.5,72.67,80,75,66.67,34,72.06,Sales Group,Convention Services
62,92.5,100,92.67,75,100,66.67,68,82.11,Sales Group,Convention Sales
67.33,62.5,65,50.67,55,60,60,34,56.81,Operations Group,Administration
54.67,72.5,65,76.67,80,85,66.67,60,70.06,Sales Group,Convention Sales
78,92.5,100,87.33,90,85,53.33,54,80.02,Sales Group,Convention Sales
67.33,92.5,85,66.67,75,85,66.67,52,73.77,Marketing Group,Executive Office
49.33,67.5,72.5,72.67,70,67.5,46.67,54,62.52,Operations Group,VIC
78,100,80,98,85,95,73.33,60,83.67,Operations Group,Information Technology
74.67,80,97.5,85.33,85,82.5,60,80,80.63,Marketing Group,Special Events
85.33,60,82.5,67.33,75,67.5,53.33,48,67.37,Operations Group,Administration
80,80,67.5,80,80,80,73.33,34,71.85,Sales Group,Convention Sales
52.67,55,72.5,78,80,70,73.33,60,67.69,Marketing Group,Marketing Communications
54.67,80,95,80,80,65,60,66,72.58,Marketing Group,Partner Services
70.67,92.5,75,83.33,80,100,66.67,52,77.52,Sales Group,Convention Sales
60,92.5,100,80,85,82.5,60,54,76.75,Sales Group,Convention Sales
65.33,92.5,90,98,95,82.5,66.67,54,80.5,Marketing Group,Partner Services
32.67,72.5,65,65.33,80,77.5,53.33,40,60.79,Sales Group,Convention Sales
78,80,67.5,80,85,97.5,73.33,54,76.92,Sales Group,Executive Office
100,82.5,92.5,89.33,100,87.5,66.67,46,83.06,Operations Group,Public Policy
76.67,85,85,67.33,70,70,60,72,73.25,Sales Group,Convention Sales
78,80,77.5,72.67,65,82.5,60,34,68.71,Marketing Group,Marketing Communications
78,92.5,82.5,74.67,80,80,60,74,77.71,Operations Group,Information Technology
65.33,92.5,80,87.33,70,87.5,53.33,86,77.75,Operations Group,Information Technology
52.67,80,87.5,69.33,90,97.5,80,26,72.88,Sales Group,Convention Sales
65.33,100,100,96,100,70,66.67,72,83.75,Operations Group,Administration
64,77.5,92.5,80,75,72.5,73.33,54,73.6,Sales Group,Convention Services
60,100,87.5,89.33,95,95,66.67,60,81.69,Operations Group,Executive Office
85.33,100,90,71.33,80,70,66.67,74,79.67,Marketing Group,Marketing Communications
72.67,72.5,55,62,80,80,60,46,66.02,Operations Group,Finance
80,82.5,57.5,80,80,77.5,66.67,60,73.02,Sales Group,Convention Services
65.33,80,70,74.67,75,65,53.33,40,65.42,Marketing Group,Marketing Communications
74.67,67.5,70,80,90,90,66.67,48,73.36,Operations Group,Executive Office
74.67,92.5,92.5,98,85,80,60,80,82.83,Sales Group,Convention Sales
78,100,82.5,80,95,100,60,34,78.69,Sales Group,Convention Sales
74.67,100,92.5,80,100,100,73.33,60,85.06,Sales Group,Convention Sales
78,80,97.5,74.67,80,65,60,60,74.4,Sales Group,Convention Sales
79.33,90,92.5,92.67,90,97.5,80,80,87.75,Marketing Group,Executive Office
72.67,85,92.5,64,100,82.5,73.33,86,82,Marketing Group,Special Events
56.67,92.5,85,74.67,90,82.5,73.33,80,79.33,Operations Group,Finance
78,80,82.5,80,80,77.5,66.67,54,74.83,Sales Group,Convention Services
49.33,85,92.5,83.33,90,85,73.33,100,82.31,Marketing Group,Marketing Communications
83.33,85,52.5,82,75,95,66.67,46,73.19,Marketing Group,Marketing Communications
63.33,90,55,36.67,70,55,46.67,60,59.58,Operations Group,Executive Office
65.33,57.5,100,82,80,65,73.33,74,74.64,Operations Group,VIC
45.33,85,62.5,64,75,80,60,60,66.48,Operations Group,Finance
78,60,85,69.33,80,47.5,60,66,68.23,Sales Group,Convention Sales
65.33,92.5,100,100,100,100,80,76,89.23,Marketing Group,Media Relations
54.67,92.5,70,94.67,95,47.5,60,74,73.54,Operations Group,Information Technology
81.33,70,90,80,80,100,66.67,46,76.75,Marketing Group,Media Relations
62,92.5,87.5,70.67,70,65,60,48,69.46,Sales Group,Convention Services
90.67,82.5,92.5,82,80,87.5,46.67,60,77.73,Marketing Group,Partner Services
98,80,87.5,87.33,85,85,73.33,34,78.77,Sales Group,Convention Sales
52.67,100,100,100,100,100,73.33,74,87.5,Sales Group,Convention Sales
56,85,72.5,85.33,80,55,60,54,68.48,Marketing Group,Marketing Communications
65.33,60,60,60,60,60,53.33,60,59.83,Operations Group,Finance
79.33,92.5,70,74.67,90,60,66.67,66,74.9,Sales Group,Executive Office
85.33,82.5,100,96,75,85,60,20,75.48,Marketing Group,Special Events
90.67,100,100,100,100,97.5,60,46,86.77,Operations Group,Information Technology
52.67,90,85,71.33,75,97.5,66.67,54,74.02,Marketing Group,Tourism
